country_id,growth_rate_per_annum_2013_2023,year,production_barrels
1,-0.02919445156828082,2000,3011.96506284153
2,0.056015515798769844,2000,5821.604
3,0.03868467278949139,2000,11029.317934134207
4,0.05769797839247337,2000,775.8685274862071
5,0.05329571018108292,2000,1235.0
6,-0.025841968736178722,2000,686.9999999999999
7,-0.010156165260606476,2000,400.0
8,,2000,0.0
9,-0.03755435372089688,2000,95.33172131147542
10,-0.029791872322899815,2000,119.10651912568308
11,-0.10896046509509627,2000,2936.479762568306
12,-0.04201163509688888,2000,115.9726775956284
13,0.00043158554228939217,2000,6364.7592080873
14,-0.10318736296501418,2000,363.0
15,-0.02568764040173399,2000,94.90515286885245
16,0.016551186940767737,2000,3241.3479508800406
17,-0.033384416669812844,2000,123.97655737704918
18,-0.0204241695304912,2000,2478.568514754098
19,-0.023097467829953366,2000,390.72661762295076
20,-0.00374527667638469,2000,6692.524793502991
21,-0.034270749059132743,2000,281.18497267759557
22,0.009538899651612143,2000,740.2079234972678
23,0.0002389771399176066,2000,6472.930504098362
24,-0.03551679180495193,2000,143.60655737704917
25,-0.04630698552630541,2000,159.96475409836066
26,0.022754318524043304,2000,38.62418032786885
27,-0.0011289416648770922,2000,7836.518892076504
28,0.021289375191202442,2000,3768.6610809999993
29,0.0339826475113858,2000,2598.0
30,-0.009402357438769049,2000,2086.0000000000005
31,0.010791944129982411,2000,954.796994535519
32,-0.010926915372265755,2000,781.3268710152983
33,-0.002723658103960025,2000,8094.5
34,-0.038323684331779684,2000,545.0000000000001
35,0.00615425333764974,2000,2333.609999999999
36,-0.18737991528886822,2000,436.50199999999995
37,0.0011487901099429543,2000,38.12101092896175
38,0.005584429910656219,2000,21636.517957479777
39,-0.011356251524292982,2000,1289.145491803279
40,-0.04317985709708427,2000,746.0614754098362
41,0.03976892713717284,2000,0.0
42,0.014983796929785242,2000,256.0
43,-0.012867598734560781,2000,743.7805464480875
44,-0.11362618576986672,2000,109.0
45,0.004407685665657635,2000,276.0
46,0.018443433087153904,2000,1414.5902
47,-0.03918018731752826,2000,2141.9315000000006
48,0.040016209242440315,2000,0.0
49,-0.06932272480668977,2000,179.1319043715847
50,-0.06004213555308635,2000,76.9420218579235
51,0.009788557555920674,2000,145.0812568306011
52,-0.01940148976956546,2000,7377.664396721311
53,-0.01721643632721992,2000,709.7518680901776
54,-0.03663150206922372,2000,178.00000000000003
55,-0.0004453992629191994,2000,3256.8431693989073
56,-0.025627414219370315,2000,660.9118032786886
57,-0.030459355802727406,2000,1413.704081967213
58,-0.014574685103411755,2000,681.0
59,-0.05534004018652072,2000,110.3
60,-0.06316192237023,2000,329.3808743169399
61,-0.0467394474475995,2000,180.15177522570502
62,-0.01302437332949935,2000,7520.043572277632
63,0.0062842081265399585,2000,68457.34675427973
64,0.02908329801019005,2000,18917.790961117014
65,-0.001455560824205837,2000,49539.55579316271
66,-0.0049493096254830116,2000,28049.979510781424
67,0.013341992261935998,2000,40407.36724349832
68,-0.053090277834248245,2000,819.0791583333333
1,-0.02919445156828082,2001,3127.036531506849
2,0.056015515798769844,2001,5801.400999999999
3,0.03868467278949139,2001,11150.567354055345
4,0.05769797839247337,2001,812.9533641586619
5,0.05329571018108292,2001,1297.0000000000002
6,-0.025841968736178722,2001,603.9999999999999
7,-0.010156165260606476,2001,406.99999999999994
8,,2001,0.0
9,-0.03755435372089688,2001,93.13241917808217
10,-0.029791872322899815,2001,113.42047945205479
11,-0.10896046509509627,2001,2996.4060418504755
12,-0.04201163509688888,2001,122.28189041095892
13,0.00043158554228939217,2001,6446.194195050233
14,-0.10318736296501418,2001,348.00000000000006
15,-0.02568764040173399,2001,85.01512671232877
16,0.016551186940767737,2001,3236.802867202498
17,-0.033384416669812844,2001,123.67838356164384
18,-0.0204241695304912,2001,2289.596138630137
19,-0.023097467829953366,2001,386.099062109589
20,-0.00374527667638469,2001,6469.191578216197
21,-0.034270749059132743,2001,300.1553424657534
22,0.009538899651612143,2001,841.4902465753426
23,0.0002389771399176066,2001,6988.132099999999
24,-0.03551679180495193,2001,153.2
25,-0.04630698552630541,2001,153.53401369863013
26,0.022754318524043304,2001,38.872
27,-0.0011289416648770922,2001,8475.383702739726
28,0.021289375191202442,2001,3741.745205
29,0.0339826475113858,2001,2502.0
30,-0.009402357438769049,2001,2025.0
31,0.010791944129982411,2001,955.7775342465753
32,-0.010926915372265755,2001,777.8091927105322
33,-0.002723658103960025,2001,7888.9
34,-0.038323684331779684,2001,579.0
35,0.00615425333764974,2001,2282.0499999999997
36,-0.18737991528886822,2001,438.7296
37,0.0011487901099429543,2001,37.11742465753424
38,0.005584429910656219,2001,21228.128956614637
39,-0.011356251524292982,2001,1260.8055342465755
40,-0.04317985709708427,2001,742.0150684931507
41,0.03976892713717284,2001,0.0
42,0.014983796929785242,2001,236.0
43,-0.012867598734560781,2001,719.6713013698632
44,-0.11362618576986672,2001,180.0
45,0.004407685665657635,2001,262.00000000000006
46,0.018443433087153904,2001,1367.7246000000002
47,-0.03918018731752826,2001,2120.2183999999997
48,0.040016209242440315,2001,0.0
49,-0.06932272480668977,2001,209.00812054794525
50,-0.06004213555308635,2001,70.55838356164384
51,0.009788557555920674,2001,136.242602739726
52,-0.01940148976956546,2001,7304.244010958904
53,-0.01721643632721992,2001,658.356661835913
54,-0.03663150206922372,2001,187.99999999999997
55,-0.0004453992629191994,2001,3310.147671232877
56,-0.025627414219370315,2001,659.5867397260274
57,-0.030459355802727406,2001,1342.0528767123287
58,-0.014574685103411755,2001,665.9999999999999
