country_id,growth_rate_per_annum_2013_2023,year,consumption_barrels
1,-0.00996253172365169,1965,315.8710877276303
2,0.005379023046962805,1965,11512.436
3,0.003157505300564578,1965,12936.423389097494
4,0.0006385037228640034,1965,455.87401284361516
5,-0.0032166046608268495,1965,305.67380821917817
69,0.017982313759495216,1965,69.59413424688724
6,0.03748740357193259,1965,94.6542090984343
7,0.01513397259296334,1965,13.394794520547944
9,0.022454743861508586,1965,72.1247782328767
10,-0.026169668140054725,1965,35.171330072382496
11,-0.07549079590555707,1965,183.87995342465754
70,0.030320019947013943,1965,66.68679407818986
71,-0.007573891987513792,1965,345.2829646559734
72,0.023059524814401655,1965,61.721146031661824
13,-0.0017818962180000675,1965,1704.057925424405
73,-0.007120947615946616,1965,106.6528493150685
74,-0.008071427502502893,1965,312.1127123287672
75,0.029732709946886704,1965,71.22095890410958
76,0.010400257434170168,1965,0.0
77,0.005241792039031745,1965,7.726465753424657
78,0.012932017332538459,1965,78.0833698630137
14,0.001669956927174976,1965,202.44715068493147
79,-0.015555076058570427,1965,0.0
80,-0.023200366619252177,1965,110.56994520547944
81,-0.017360371675075426,1965,1065.4967671232878
82,-0.01766834267687234,1965,1708.6315068493154
83,0.0051482444727057874,1965,84.77063013698631
84,0.027283824944485113,1965,73.12246575342468
85,0.0131753591874324,1965,9.403095890410958
86,0.006141416732898364,1965,46.54926027397261
15,-0.0031840981074203745,1965,978.9859178082191
87,0.003330911919883217,1965,0.0
88,0.022844743014664992,1965,0.0
89,-0.01921929042154613,1965,16.145616438356164
90,-0.010452503945035496,1965,477.89186301369864
91,0.026966385530551307,1965,0.0
16,-0.00373359517905425,1965,99.4494520547945
92,0.0341327494278123,1965,108.74528767123287
93,-0.006975165172512177,1965,50.25331506849315
17,0.023597009027327642,1965,142.54958904109586
94,0.01961865822860842,1965,44.88109589041096
95,-0.012793742200797875,1965,0.0
96,0.006272569882638468,1965,268.46416438356164
97,-0.01738938101741394,1965,373.9610042299423
98,-0.026838000796718497,1965,164.18868493150686
99,0.04469833342171947,1965,69.37386301369862
100,-0.029160425699963133,1965,0.0
18,-0.011060422677555581,1965,1466.077589041096
101,0.01900152319486592,1965,80.98346341570422
102,-0.0021845647047382677,1965,8218.738084084003
21,0.02522503231595441,1965,0.0
103,-0.007126919482967842,1965,0.0
22,0.02041820268033967,1965,0.0
23,0.012252749018044184,1965,0.0
24,0.005557313651161522,1965,0.0
104,,1965,3313.9524159123266
25,0.0377675559807642,1965,0.0
26,0.028671160060111722,1965,0.0
27,0.013212500857483267,1965,3313.9524159123266
28,-0.00395327382785382,1965,139.2885157862695
29,0.02521670976471313,1965,30.42031596922851
105,0.005094728819482031,1965,67.65252994896615
30,-0.012593133983393567,1965,105.86717718834727
31,0.028323814325988517,1965,0.17054794520547945
32,0.019566049922561612,1965,1.0125205479452055
33,0.01567502051935543,1965,389.5744657534247
35,0.030095527687588497,1965,1.5257843203728751
37,-0.02036000410965444,1965,99.38184531717343
38,0.010455559950939719,1965,834.8937027769331
39,0.012795278892020923,1965,26.71619178082192
43,-0.003375393501982238,1965,130.73772602739726
106,0.00633809492016546,1965,20.741497425077846
107,-0.005993824008824089,1965,117.7289315068493
108,0.0184551190918516,1965,118.61903283736754
109,0.011998916571404505,1965,40.54866292900497
110,0.041300559973221906,1965,84.77604342619465
111,0.00909792672661025,1965,35.98479599392469
112,0.009979796030049393,1965,1.5319881166435003
52,0.012114795247251564,1965,577.3848700432817
53,0.0024097262097857453,1965,343.8715342465754
113,0.07451923586743736,1965,0.0
55,0.04609011682009667,1965,215.49350684931505
114,-0.026560583080769806,1965,40.61195439452055
56,0.03820801356204351,1965,252.23397260273975
57,0.0018652864901533839,1965,121.97095890410958
115,-0.030866578494057273,1965,1727.4914356218476
58,0.014787712895187877,1965,53.41040258820117
116,0.003537299076837197,1965,56.71906849315068
117,-0.011529348514179527,1965,75.72652054794523
118,0.04050964718481298,1965,97.35390461972224
119,0.01714481094549214,1965,76.49975958980063
120,0.012686783337655827,1965,24.946301369863015
121,0.01373506355239451,1965,15.363863069718173
122,-0.013800431601708296,1965,43.85572602739726
59,0.005811354351803022,1965,47.56139726027397
60,0.04991474067470336,1965,31.347252782638357
61,0.058952390093635954,1965,74.82077902309052
62,0.023253225574708658,1965,3299.2783379909097
63,0.01070072068982908,1965,30884.72872532935
64,-0.0006524351156201869,1965,23245.35577031216
65,0.02099894434669003,1965,7639.372955017192
123,-0.004400192429654171,1965,6333.132565873779
1,-0.00996253172365169,1966,333.0484836818594
2,0.005379023046962805,1966,12084.373
3,0.003157505300564578,1966,13584.890278202407
4,0.0006385037228640034,1966,471.13779697144616
5,-0.0032166046608268495,1966,334.60257534246574
69,0.017982313759495216,1966,76.50988793489269
6,0.03748740357193259,1966,112.05258440776987
7,0.01513397259296334,1966,13.969342465753426
9,0.022454743861508586,1966,92.2959322191781
10,-0.026169668140054725,1966,35.41800794157409
11,-0.07549079590555707,1966,181.46939452054792
70,0.030320019947013943,1966,68.69313173601336
71,-0.007573891987513792,1966,357.4977218638675
72,0.023059524814401655,1966,61.09579093773742
13,-0.0017818962180000675,1966,1804.7421663412465
73,-0.007120947615946616,1966,118.20578082191781
74,-0.008071427502502893,1966,318.6681095890411
75,0.029732709946886704,1966,81.12865753424657
76,0.010400257434170168,1966,0.0
77,0.005241792039031745,1966,8.848876712328765
78,0.012932017332538459,1966,85.892
14,0.001669956927174976,1966,230.12342465753423
79,-0.015555076058570427,1966,0.0
80,-0.023200366619252177,1966,134.50301369863013
